COD_COMARCA,CANDIDATO_COD,VOTOS,AÑO_ID
28,52,1656,2
28,70,20,2
28,73,3,2
28,74,10,2
28,75,4,2
28,76,135,2
28,82,18,2
28,85,1792,2
28,86,13,2
28,87,19,2
28,88,3,2
28,89,46,2
28,96,40,2
28,99,22,2
28,103,12,2
28,104,133,2
28,105,20,2
28,106,40,2
29,1,114,2
29,2,15103,2
29,4,17241,2
29,5,55,2
29,10,78,2
29,11,5757,2
29,14,693,2
29,20,112,2
29,25,1233,2
29,27,62,2
29,28,169,2
29,31,1564,2
29,40,12,2
29,41,91,2
29,42,648,2
29,43,58,2
29,44,133,2
29,45,193,2
29,46,333,2
29,47,119,2
29,48,9,2
29,52,5479,2
29,70,84,2
29,73,16,2
29,74,34,2
29,75,18,2
29,76,386,2
29,82,37,2
29,85,5678,2
29,86,97,2
29,87,69,2
29,88,17,2
29,89,72,2
29,96,158,2
29,99,49,2
29,103,57,2
29,104,372,2
29,105,34,2
29,106,95,2
30,1,130,2
30,2,10403,2
30,4,13616,2
30,5,108,2
30,10,54,2
30,11,2751,2
30,14,470,2
30,20,390,2
30,25,1241,2
30,27,27,2
30,28,95,2
30,31,5892,2
30,40,21,2
30,41,62,2
30,42,635,2
30,43,60,2
30,44,93,2
30,45,152,2
30,46,442,2
30,47,104,2
30,48,36,2
30,52,4167,2
30,70,103,2
30,73,13,2
30,74,27,2
30,75,10,2
30,76,352,2
30,82,48,2
30,85,3716,2
30,86,45,2
30,87,46,2
30,88,19,2
30,89,62,2
30,96,135,2
30,99,33,2
30,103,126,2
30,104,470,2
30,105,29,2
30,106,73,2
31,1,94,2
31,2,10856,2
31,4,14985,2
31,5,73,2
31,10,60,2
31,11,4347,2
31,14,605,2
31,20,197,2
31,25,1445,2
31,27,30,2
31,28,131,2
31,31,3006,2
31,40,19,2
31,41,55,2
31,42,910,2
31,43,56,2
31,44,86,2
31,45,133,2
31,46,328,2
31,47,89,2
31,48,45,2
31,52,3554,2
31,70,71,2
31,73,20,2
31,74,46,2
31,75,10,2
31,76,326,2
31,82,23,2
31,85,3592,2
31,86,40,2
31,87,47,2
31,88,14,2
31,89,71,2
31,96,98,2
31,99,35,2
31,103,69,2
31,104,393,2
31,105,36,2
31,106,69,2
32,1,328,2
32,2,31977,2
32,4,43981,2
32,5,178,2
32,10,204,2
32,11,16569,2
32,14,2425,2
32,20,721,2
32,25,6804,2
32,27,223,2
32,28,404,2
32,31,6632,2
32,40,64,2
32,41,211,2
32,42,3252,2
32,43,136,2
32,44,295,2
32,45,669,2
32,46,1371,2
32,47,366,2
32,48,57,2
32,52,17278,2
32,70,177,2
32,73,44,2
32,74,93,2
32,75,45,2
32,76,923,2
32,82,93,2
32,85,15773,2
32,86,110,2
32,87,160,2
32,88,54,2
32,89,199,2
32,96,383,2
32,99,128,2
32,103,92,2
32,104,1291,2
32,105,113,2
32,106,278,2
33,1,191,2
33,2,22204,2
33,4,27597,2
33,5,168,2
33,10,170,2
33,11,8678,2
33,14,1241,2
33,20,410,2
33,25,3222,2
33,27,77,2
33,28,205,2
33,31,3894,2
33,40,48,2
33,41,213,2
33,42,1515,2
33,43,125,2
33,44,229,2
33,45,242,2
33,46,816,2
33,47,261,2
33,48,32,2
33,52,8001,2
33,70,71,2
33,73,24,2
33,74,53,2
33,75,20,2
33,76,605,2
33,82,118,2
33,85,10010,2
33,86,91,2
33,87,95,2
33,88,29,2
33,89,167,2
33,96,253,2
33,99,100,2
33,103,93,2
33,104,846,2
33,105,113,2
33,106,256,2
34,1,140,2
34,2,22016,2
34,4,35753,2
34,5,173,2
34,10,143,2
34,11,5952,2
34,14,890,2
34,20,201,2
34,25,1708,2
34,27,70,2
34,28,168,2
34,31,942,2
34,40,54,2
34,41,111,2
34,42,1353,2
34,43,85,2
34,44,126,2
34,45,293,2
34,46,455,2
34,47,143,2
34,48,16,2
34,52,6256,2
34,70,48,2
34,73,24,2
34,74,35,2
34,75,26,2
34,76,459,2
34,82,35,2
34,85,4553,2
34,86,44,2
34,87,69,2
34,88,36,2
34,89,123,2
34,96,131,2
34,99,69,2
34,103,41,2
34,104,575,2
34,105,52,2
34,106,140,2
